state,year,sector_name,log_food_tons,adjusted_quant_score_linear,inflation_adjusted_tipping_fee,pce_scaled,centered_search
california,1999,sector_combined,15.5355065353648,0,47.03,15.0934096172277,4.20182291666667
california,2003,sector_combined,15.582695874252,0,47.031,17.0308662522066,4.20182291666667
california,2008,sector_res,14.9254056227193,0,53.0500391486939,18.8109958595428,4.20182291666667
california,2008,sector_ici,14.9249984918244,0,53.0500391486939,18.8109958595428,4.20182291666667
california,2014,sector_combined,15.5367007352359,7.371,57.4559366463832,19.9441856301314,-0.631510416666664
california,2018,sector_res,14.6589931494603,11.55,55.2019058033273,23.634149869516598,2.95182291666667
california,2018,sector_ici,15.0082775106005,11.55,55.2019058033273,23.634149869516598,2.95182291666667
california,2021,sector_combined,15.2886587628328,12.775,53.0984868080704,26.2336300975518,17.28515625
connecticut,2009,sector_res,12.1150181972407,0,71.6435225265783,1.84561571292855,2.61848958333333
connecticut,2009,sector_ici,11.8366771371821,0,71.6435225265783,1.84561571292855,2.61848958333333
connecticut,2015,sector_res,12.5159662063472,3.62543159457954,71.2,2.00259,-6.46484375
connecticut,2015,sector_ici,12.4178559124737,3.62543159457954,71.2,2.00259,-6.46484375
delaware,2016,sector_res,11.0808031907996,0,71.8181130648516,0.532247403042982,-9.04817708333333
delaware,2016,sector_ici,11.1137604694105,0,71.8181130648516,0.532247403042982,-9.04817708333333
georgia,2004,sector_res,12.7763952684792,0,44.1332346410067,4.20368857958822,-8.04817708333333
georgia,2004,sector_ici,12.650046870077,0,44.1332346410067,4.20368857958822,-8.04817708333333
illinois,2008,sector_res,13.7310958068219,0,47.1047761406506,6.17740488520992,4.20182291666667
illinois,2008,sector_ici,13.7310958068219,0,47.1047761406506,6.17740488520992,4.20182291666667
indiana,2008,sector_combined,13.7505655542238,0,47.1047761406506,2.95256753379195,4.53515625000001
iowa,2016,sector_res,11.1901691258951,0,50.437889960295,1.49436930367995,-2.29817708333333
iowa,2016,sector_ici,11.5428209289814,0,50.437889960295,1.49436930367995,-2.29817708333333
iowa,2022,sector_res,11.5262121349404,0,57.0675001056387,1.6641375436290498,13.78515625
iowa,2022,sector_ici,11.7341938512609,0,57.0675001056387,1.6641375436290498,13.78515625
maine,2007,sector_combined,12.2950903418478,0,74.6225319396051,0.708626085357135,-3.96484375
massachusetts,2002,sector_combined,13.6874123786686,0,69.0045,3.6090252437313,-5.54817708333333
massachusetts,2010,sector_combined,13.0397257850945,0,71.5358804240067,3.8040036201797,-5.54817708333333
massachusetts,2022,sector_combined,13.633700870143,13.7817894932244,67.4152023131855,4.90740711246205,9.78515625000001
michigan,2015,sector_combined,13.8828630745378,0,49.8,4.6405400000000006,-10.1315104166667
minnesota,2013,sector_combined,13.1604295782108,0,47.9415793714746,2.60654362060399,-7.29817708333333
missouri,2006,sector_combined,13.0430100765353,0,46.8650387203615,2.74580030968125,-10.6315104166667
missouri,2017,sector_res,12.6864504019533,0,51.4,2.9888416668,-1.46484374999999
missouri,2017,sector_ici,12.4489286239942,0,51.4,2.9888416668,-1.46484374999999
nebraska,2008,sector_combined,12.3163117415391,0,47.1047761406506,0.833001071852452,-22.8815104166667
newyork,2018,sector_combined,14.9283544288791,0,67.2459579785988,11.6559429173135,7.11848958333333
ohio,2016,sector_combined,14.2995989052386,0,50.437889960295,5.91688731842185,-4.13151041666666
oregon,2002,sector_combined,13.1143110442135,0,46.26,1.77323592684772,0.785156250000007
oregon,2005,sector_combined,13.0761497910057,0,48.7554255059742,1.99244240364611,0.785156250000007
oregon,2009,sector_combined,13.0332742069325,0,55.067614364373,1.99553556956027,16.7018229166667
oregon,2016,sector_combined,13.0800006131745,0,56.4632255624882,2.30949404150758,-0.631510416666664
pennsylvania,2002,sector_res,13.3394164191618,0,69.0045,5.48794582412072,6.86848958333333
pennsylvania,2002,sector_ici,13.1353862110058,0,69.0045,5.48794582412072,6.86848958333333
pennsylvania,2021,sector_combined,14.2811980109079,0,69.1360579410243,6.98130624627869,6.86848958333333
rhodeisland,2015,sector_res,11.0116705620609,6.07577687024318,71.2,0.59344,-1.79817708333333
rhodeisland,2015,sector_ici,10.5828653690101,6.07577687024318,71.2,0.59344,-1.79817708333333
tennessee,2005,sector_combined,13.8361941696288,0,44.7446964155084,2.69725800774488,-31.1315104166667
vermont,2018,sector_res,10.6158489520199,15.5501991974983,67.2459579785988,0.39718635701855903,-23.5481770833333
vermont,2018,sector_ici,10.617711058698,15.5501991974983,67.2459579785988,0.39718635701855903,-23.5481770833333
washington,2003,sector_combined,13.6760185791457,0,47.031,3.17573817535274,12.2018229166667
washington,2009,sector_res,12.9336357454561,0,55.067614364373,3.46969669122236,12.2018229166667
washington,2009,sector_ici,13.0755358859322,0,55.067614364373,3.46969669122236,12.2018229166667
washington,2016,sector_res,12.8190341915364,0,56.4632255624882,3.96821068817235,0.118489583333336
washington,2016,sector_ici,12.8758411623907,0,56.4632255624882,3.96821068817235,0.118489583333336
washington,2020,sector_res,13.0090513319589,0,53.4801458995805,4.4606080791932605,21.78515625
washington,2020,sector_ici,12.2923283203822,0,53.4801458995805,4.4606080791932605,21.78515625
wisconsin,2000,sector_res,12.8950109813161,0,43.18,2.45335722632213,6.11848958333333
wisconsin,2000,sector_ici,12.4895207674499,0,43.18,2.45335722632213,6.11848958333333
wisconsin,2003,sector_res,12.237392032954,0,43.176,2.48487665243607,6.11848958333333
wisconsin,2003,sector_ici,12.5341166066698,0,43.176,2.48487665243607,6.11848958333333
wisconsin,2009,sector_res,12.4348920586226,0,47.9477611940299,2.59433084152044,6.11848958333333
