"variable","mean","sd","min","median","max","n"
"year",2011.41860465116,6.94273363939572,1999,2010,2023,43
"food_tons_clean",1381137.95991163,1779097.73777568,71114,664453,6066845,43
"log_food_tons",13.4932392987173,1.14521182470972,11.1720395021745,13.4067194247619,15.6183492585513,43
"pce_scaled",5.49224609548477,6.46071411180754,0.397186357018559,2.95256753379195,26.2336300975518,43
"centered_search_roll",0.00000000000000123931872516297,11.082829223861,-31.343023255814,0.573643410852718,21.5736434108527,43
"inflation_adjusted_tipping_fee",55.9874008121168,9.99612215027162,43.176,53.0984868080704,74.6225319396051,43
"adjusted_quant_score_linear",2.01695807338478,4.66448294266243,0,0,16,43
